Data_Type,TargetType,Metric,Synth_Family,Pred_Family,same_family,n_clusters,estimate,std_error,conf_low,conf_high,p_boot
parametric,Continuous,MAE,cart,svm,FALSE,15,0.1903027878209625,0.06625896265912205,0.08225857369050509,0.33821216956763167,4e-4
parametric,Continuous,MAE,parm,cart,FALSE,15,0.025198261966027743,0.0066460224530409525,0.012803934067089805,0.03876392110864294,4e-4
parametric,Continuous,MAE,parm,parm,TRUE,15,0,0,0,0,1
parametric,Continuous,MAE,parm,svm,FALSE,15,0.03142007819058786,0.006802230881888336,0.018639514277893766,0.04515078433945732,4e-4
parametric,Continuous,MAE,svm,cart,FALSE,15,0.1782733231939722,0.07426985443006448,0.02754199417236603,0.32143468360484695,0.0192
parametric,Continuous,MAE,svm,parm,FALSE,15,-0.07519110432453015,0.026046229931945743,-0.12948192297701347,-0.027976329065772756,4e-4
parametric,Continuous,MAE,svm,svm,TRUE,15,0.11798900716583038,0.07646334968747369,-0.013430669266974926,0.28615507907449955,0.0944
parametric,Continuous,RMSE,cart,cart,TRUE,15,0.3510421490596373,0.07250203218063014,0.21628037143992532,0.4978190836051268,4e-4
parametric,Continuous,RMSE,cart,parm,FALSE,15,-9.853358087296927e-4,5.00186559163902e-4,-0.0020767988899798025,-1.5754803586451576e-4,4e-4
parametric,Continuous,RMSE,cart,svm,FALSE,15,0.21324041101751995,0.0687351438214729,0.09896690425199213,0.3641772110156429,4e-4
parametric,Continuous,RMSE,parm,cart,FALSE,15,0.02517677645385169,0.006514544080214461,0.0129311127403995,0.038467268156892886,4e-4
parametric,Continuous,RMSE,parm,parm,TRUE,15,0,0,0,0,1
parametric,Continuous,RMSE,parm,svm,FALSE,15,0.032597462078295246,0.008376866351055272,0.01581786258458458,0.04804481074927043,8e-4
parametric,Continuous,RMSE,svm,cart,FALSE,15,0.1822365874619869,0.07359702974861457,0.03243698961863294,0.3246120255951022,0.0164
parametric,Continuous,RMSE,svm,parm,FALSE,15,-0.061245068902896896,0.020042956405335658,-0.10299886950997586,-0.02472482811392316,4e-4
parametric,Continuous,RMSE,svm,svm,TRUE,15,0.16227945161019441,0.07671722458405117,0.030286494615663382,0.33278793570036663,0.0076
parametric,Continuous,R_squared,cart,cart,TRUE,15,0.3955672839337267,0.06138180332098502,0.2808506315082972,0.5183521400161241,4e-4
parametric,Continuous,R_squared,cart,parm,FALSE,15,-0.002050004024925039,0.0010298025340697218,-0.004301874584748734,-3.4670388977429967e-4,4e-4
parametric,Continuous,R_squared,cart,svm,FALSE,15,0.30547107358860687,0.07320523420566279,0.1805928401145351,0.4636752889997339,4e-4
parametric,Continuous,R_squared,parm,cart,FALSE,15,0.039968527916393964,0.011102965308127613,0.019020981306266734,0.06263534000471119,4e-4
parametric,Continuous,R_squared,parm,parm,TRUE,15,0,0,0,0,1
parametric,Continuous,R_squared,parm,svm,FALSE,15,0.06029069343296555,0.01565624726069658,0.02902317327316438,0.08952691688431033,8e-4
parametric,Continuous,R_squared,svm,cart,FALSE,15,0.20568009777680635,0.07265906590226796,0.05710349445986935,0.3415516691138587,0.008
parametric,Continuous,R_squared,svm,parm,FALSE,15,-0.10627952062824406,0.03290195205253913,-0.17415987045574652,-0.045882555881990125,4e-4
parametric,Continuous,R_squared,svm,svm,TRUE,15,0.2205799045959286,0.08842731842680474,0.0602405889487201,0.4088112303202193,0.0024
